city,country,latitude,longitude,temperature,humidity,cloudiness,wind_speed
puerto el triunfo,sv,13,13,89,55,20,5
dukat,ru,42,42,33,88,44,1
quime,bo,-16,-16,60,72,48,1
atakpame,tg,7,7,89,36,32,4
clovis,us,36,36,58,90,75,4
jambi,id,-1,-1,73,96,64,1
ponte de sor,pt,39,39,53,98,92,17
erdaojiang,cn,41,41,25,86,44,4
palmeiras de goias,br,-16,-16,72,98,92,8
takab,ir,36,36,30,98,92,2
shelburne,ca,44,44,35,93,90,11
balakovo,ru,52,52,26,100,56,15
thai binh,vn,20,20,64,90,0,6
venice,us,27,27,79,74,1,11
petrozavodsk,ru,61,61,30,74,68,6
alpena,us,45,45,40,100,90,10
kananga,cd,-5,-5,75,91,80,2
santa helena de goias,br,-17,-17,79,86,88,11
boda,cf,26,26,58,83,0,2
pennagaram,in,12,12,69,97,24,3
yining,cn,29,29,38,79,0,1
easton,us,42,42,45,59,8,12
svetlaya,ru,46,46,27,100,0,9
navirai,br,-23,-23,84,68,12,11
poway,us,32,32,65,60,90,2
nyrob,ru,60,60,3,81,64,3
marmaris,tr,36,36,55,82,0,4
gerede,tr,40,40,23,80,0,2
kundiawa,pg,-6,-6,58,90,88,1
tukums,lv,56,56,32,100,90,4
cartagena del chaira,co,1,1,89,63,24,2
iisalmi,fi,63,63,24,92,20,10
tysmenytsya,ua,48,48,24,100,90,4
maniwaki,ca,46,46,33,79,56,6
maceio,br,-9,-9,84,58,40,18
san carlos,py,9,9,94,44,0,9
solvychegodsk,ru,61,61,23,83,80,7
charagua,bo,-19,-19,86,40,75,4
la poza,mx,-32,-32,69,52,0,18
chama,zm,-11,-11,70,72,76,9
arsk,ru,56,56,28,79,90,15
christchurch,nz,-43,-43,57,100,92,13
caorle,it,45,45,54,93,75,5
grand-lahou,ci,5,5,78,83,8,6
bucyrus,us,40,40,46,93,90,12
chenzhou,cn,25,25,46,94,24,2
taseyevo,ru,57,57,23,90,92,10
turbat,pk,26,26,59,78,0,2
loding,no,48,48,41,93,75,1
xiongzhou,cn,32,32,46,93,36,2
kilis,tr,36,36,50,87,75,4
marfino,ru,56,56,27,79,90,13
casablanca,ma,33,33,58,67,40,6
san angelo,us,31,31,78,13,1,13
braganca,br,-1,-1,85,67,80,10
lake havasu city,us,34,34,61,36,1,4
segezha,ru,63,63,30,71,76,9
viramgam,in,23,23,69,60,0,2
posse,br,-14,-14,76,84,44,3
raipur,in,21,21,61,69,0,2
sovetskaya,ru,44,44,16,70,0,2
wexford,ie,40,40,44,95,90,5
lajas,us,22,22,86,58,40,6
bonfim,br,-20,-20,75,69,90,5
dubrovnik,hr,42,42,54,82,75,13
nayagarh,in,20,20,62,82,0,4
camacupa,ao,-12,-12,66,93,8,2
pontal do parana,br,-25,-25,87,58,75,11
bullhead city,us,35,35,59,58,5,3
boo,se,7,7,89,31,0,5
energetik,ru,51,51,18,88,80,26
athabasca,ca,54,54,16,82,76,7
weleri,id,-6,-6,68,96,44,2
mamaku,nz,-38,-38,55,95,92,4
machala,ec,-3,-3,89,33,90,9
urucara,br,-2,-2,85,77,48,3
gberia fotombu,sl,9,9,84,69,24,3
bracebridge,ca,45,45,33,74,90,11
winslow,us,51,51,46,81,92,11
chapais,ca,49,49,28,86,90,9
bollnas,se,61,61,23,91,0,6
san alberto,py,-24,-24,78,65,75,13
nipawin,ca,53,53,14,85,90,9
plainview,us,34,34,65,25,1,24
do gonbadan,ir,30,30,64,59,90,11
liepaja,lv,56,56,33,100,56,6
manosque,fr,43,43,47,100,90,2
funadhoo,mv,6,6,83,100,44,6
gromiljak,ba,43,43,40,98,92,2
patillas,us,18,18,84,55,20,6
young,au,-32,-32,78,59,0,14
san pablo,gt,14,14,80,78,20,6
blythe,us,33,33,62,44,1,3
verkhnyaya toyma,ru,62,62,23,88,24,5
dongying,cn,37,37,31,72,24,8
